Token_declencheur	Corpus	Id_aa	Nom_aa	Id_phrase	Texte_phrase	Id_SitEmo	Auteur_SitEmo	Texte_SitEmo	Nature_SitEmo	Declencheur_entier	Mode	Type1	Type2	Cat1	Cat2	Lemme
d	PtitLibe	10027-67883211	7-12_PtitLibe12-Jeux_olympiques_programme_JO	10027-67883211_9497-9630	C’est particulièrement vrai pour l’équipe de France de handball, qui a déjà été médaillée d’or à Pékin en 2008 et à Londres en 2012 !	aetienne_1624440494308_10027-67883211	aetienne	médaillée d’or à Pékin en 2008 et à Londres en 2012	SAdj	médaillée d’or	Suggeree	Base	Complexe	Joie	Fierte	de
or	PtitLibe	10027-67883211	7-12_PtitLibe12-Jeux_olympiques_programme_JO	10027-67883211_9497-9630	C’est particulièrement vrai pour l’équipe de France de handball, qui a déjà été médaillée d’or à Pékin en 2008 et à Londres en 2012 !	aetienne_1624440494308_10027-67883211	aetienne	médaillée d’or à Pékin en 2008 et à Londres en 2012	SAdj	médaillée d’or	Suggeree	Base	Complexe	Joie	Fierte	or
déjà	PtitLibe	10027-67883211	7-12_PtitLibe12-Jeux_olympiques_programme_JO	10027-67883211_9497-9630	C’est particulièrement vrai pour l’équipe de France de handball, qui a déjà été médaillée d’or à Pékin en 2008 et à Londres en 2012 !	aetienne_1621579825938_10027-67883211	aetienne	déjà	SAdv	déjà	Montree	Base	Aucun	Surprise	Aucune	déjà
d	PtitLibe	2327-11678832	7-12_PtitLibe13-coulisses_de_ecole_D_ou_viennent_profs	2327-11678832_833-948	C’est une habitude à prendre, d’ailleurs les jeunes professeurs n’ont parfois plus de voix à la fin de la journée !	aetienne_1624440648775_2327-11678832	aetienne	d’ailleurs	SAdv	d’ailleurs	Montree	Base	Aucun	Surprise	Aucune	de
ailleurs	PtitLibe	2327-11678832	7-12_PtitLibe13-coulisses_de_ecole_D_ou_viennent_profs	2327-11678832_833-948	C’est une habitude à prendre, d’ailleurs les jeunes professeurs n’ont parfois plus de voix à la fin de la journée !	aetienne_1624440648775_2327-11678832	aetienne	d’ailleurs	SAdv	d’ailleurs	Montree	Base	Aucun	Surprise	Aucune	ailleurs
pas	PtitLibe	2659-14088591	7-12_PtitLibe13-coulisses_de_ecole_emplois_temps	2659-14088591_1737-1856	Si des membres d’une même famille n’habitent pas dans la même zone, ils ne pourront donc pas forcément partir ensemble.	aetienne_1624441019042_2659-14088591	aetienne	pas partir ensemble	Proposition	pas partir ensemble	Suggeree	Base	Aucun	Tristesse	Aucune	pas
partir	PtitLibe	2659-14088591	7-12_PtitLibe13-coulisses_de_ecole_emplois_temps	2659-14088591_1737-1856	Si des membres d’une même famille n’habitent pas dans la même zone, ils ne pourront donc pas forcément partir ensemble.	aetienne_1624441019042_2659-14088591	aetienne	pas partir ensemble	Proposition	pas partir ensemble	Suggeree	Base	Aucun	Tristesse	Aucune	partir
ensemble	PtitLibe	2659-14088591	7-12_PtitLibe13-coulisses_de_ecole_emplois_temps	2659-14088591_1737-1856	Si des membres d’une même famille n’habitent pas dans la même zone, ils ne pourront donc pas forcément partir ensemble.	aetienne_1624441019042_2659-14088591	aetienne	pas partir ensemble	Proposition	pas partir ensemble	Suggeree	Base	Aucun	Tristesse	Aucune	ensemble
heureusement	PtitLibe	2659-14088591	7-12_PtitLibe13-coulisses_de_ecole_emplois_temps	2659-14088591_1856-2104	Heureusement, ils pourront se retrouver à la Toussaint (du 19 octobre au 3 novembre), aux vacances de Noël (du 17 décembre au 3 janvier), ou pour les grandes vacances (à partir du 8 juillet 2017), qui ont lieu aux mêmes dates dans toutes les zones.	aetienne_1621579825960_2659-14088591	aetienne	Heureusement	SAdv	heureusement	Designee	Base	Aucun	Joie	Aucune	heureusement
se	PtitLibe	2659-14088591	7-12_PtitLibe13-coulisses_de_ecole_emplois_temps	2659-14088591_1856-2104	Heureusement, ils pourront se retrouver à la Toussaint (du 19 octobre au 3 novembre), aux vacances de Noël (du 17 décembre au 3 janvier), ou pour les grandes vacances (à partir du 8 juillet 2017), qui ont lieu aux mêmes dates dans toutes les zones.	aetienne_1624441116354_2659-14088591	aetienne	se retrouver	Proposition	se retrouver	Suggeree	Base	Aucun	Joie	Aucune	se
retrouver	PtitLibe	2659-14088591	7-12_PtitLibe13-coulisses_de_ecole_emplois_temps	2659-14088591_1856-2104	Heureusement, ils pourront se retrouver à la Toussaint (du 19 octobre au 3 novembre), aux vacances de Noël (du 17 décembre au 3 janvier), ou pour les grandes vacances (à partir du 8 juillet 2017), qui ont lieu aux mêmes dates dans toutes les zones.	aetienne_1624441116354_2659-14088591	aetienne	se retrouver	Proposition	se retrouver	Suggeree	Base	Aucun	Joie	Aucune	retrouver
réussi	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_140-233	Il a en effet réussi ses examens à l’école des enseignants, où il a étudié pendant deux ans. 	aetienne_1624441225954_1429-37956204	aetienne	a réussi ses examens à l’école des enseignants, où il a étudié pendant deux ans	Proposition	réussi	Suggeree	Base	Complexe	Joie	Fierte	réussir
dérange	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_1195-1348	Ça ne le dérange pas parce qu’il aime son métier : il a le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui.	aetienne_1621579825966_1429-37956204	aetienne	dérange	Proposition	dérange	Designee	Base	Aucun	Tristesse	Aucune	déranger
servir	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_1195-1348	Ça ne le dérange pas parce qu’il aime son métier : il a le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui.	aetienne_1624441383739_1429-37956204	aetienne	le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui	Proposition	servir à quelque chose;grâce à	Suggeree	Base	Complexe	Joie	Fierte	servir
à	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_1195-1348	Ça ne le dérange pas parce qu’il aime son métier : il a le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui.	aetienne_1624441383739_1429-37956204	aetienne	le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui	Proposition	servir à quelque chose;grâce à	Suggeree	Base	Complexe	Joie	Fierte	à
quelque	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_1195-1348	Ça ne le dérange pas parce qu’il aime son métier : il a le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui.	aetienne_1624441383739_1429-37956204	aetienne	le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui	Proposition	servir à quelque chose;grâce à	Suggeree	Base	Complexe	Joie	Fierte	quelque
chose	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_1195-1348	Ça ne le dérange pas parce qu’il aime son métier : il a le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui.	aetienne_1624441383739_1429-37956204	aetienne	le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui	Proposition	servir à quelque chose;grâce à	Suggeree	Base	Complexe	Joie	Fierte	chose
grâce	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_1195-1348	Ça ne le dérange pas parce qu’il aime son métier : il a le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui.	aetienne_1624441383739_1429-37956204	aetienne	le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui	Proposition	servir à quelque chose;grâce à	Suggeree	Base	Complexe	Joie	Fierte	grâce
à	PtitLibe	1429-37956204	7-12_PtitLibe13-coulisses_de_ecole_Florent	1429-37956204_1195-1348	Ça ne le dérange pas parce qu’il aime son métier : il a le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui.	aetienne_1624441383739_1429-37956204	aetienne	le sentiment de servir à quelque chose quand il voit les élèves apprendre des choses grâce à lui	Proposition	servir à quelque chose;grâce à	Suggeree	Base	Complexe	Joie	Fierte	à
pas	PtitLibe	11951-11678832	7-12_PtitLibe13-coulisses_de_ecole_Qui_fait_quoi_a_ecole	11951-11678832_2485-2564	Le professeur des écoles doit tout savoir enseigner et il ne fait pas que ça ! 	aetienne_1621579826070_11951-11678832	aetienne	il ne fait pas que ça	Proposition	pas que ça	Suggeree	Base	Aucun	Surprise	Aucune	pas
que	PtitLibe	11951-11678832	7-12_PtitLibe13-coulisses_de_ecole_Qui_fait_quoi_a_ecole	11951-11678832_2485-2564	Le professeur des écoles doit tout savoir enseigner et il ne fait pas que ça ! 	aetienne_1621579826070_11951-11678832	aetienne	il ne fait pas que ça	Proposition	pas que ça	Suggeree	Base	Aucun	Surprise	Aucune	que
ça	PtitLibe	11951-11678832	7-12_PtitLibe13-coulisses_de_ecole_Qui_fait_quoi_a_ecole	11951-11678832_2485-2564	Le professeur des écoles doit tout savoir enseigner et il ne fait pas que ça ! 	aetienne_1621579826070_11951-11678832	aetienne	il ne fait pas que ça	Proposition	pas que ça	Suggeree	Base	Aucun	Surprise	Aucune	ça
problèmes	PtitLibe	11951-11678832	7-12_PtitLibe13-coulisses_de_ecole_Qui_fait_quoi_a_ecole	11951-11678832_10420-10528	Il est là pour écouter, aider et conseiller les élèves qui ont des problèmes à l’école ou dans leur famille.	aetienne_1621579826094_11951-11678832	aetienne	ont des problèmes à l’école ou dans leur famille.	SN	problèmes	Suggeree	Base	Aucun	Tristesse	Aucune	problème
accuse	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_2845-3039	Il accuse les personnes qui viennent d’autres pays et qui entrent illégalement aux Etats-Unis (là-bas, ils sont en majorité mexicains) de «voler» les emplois des Américains et d’être dangereux. 	aetienne_1621579826106_4762-45255474	aetienne	accuse les personnes qui viennent d’autres pays et qui entrent illégalement aux Etats-Unis (là-bas, ils sont en majorité mexicains) de «voler» les emplois des Américains et d’être dangereux	Proposition	accuse	Comportementale	Base	Base	Colere	Peur	accuser
dangereux	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_2845-3039	Il accuse les personnes qui viennent d’autres pays et qui entrent illégalement aux Etats-Unis (là-bas, ils sont en majorité mexicains) de «voler» les emplois des Américains et d’être dangereux. 	aetienne_1624442862396_4762-45255474	aetienne	dangereux	SAdj	dangereux	Designee	Base	Aucun	Peur	Aucune	dangereux
voler	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_2845-3039	Il accuse les personnes qui viennent d’autres pays et qui entrent illégalement aux Etats-Unis (là-bas, ils sont en majorité mexicains) de «voler» les emplois des Américains et d’être dangereux. 	aetienne_1624442842383_4762-45255474	aetienne	«voler» les emplois des Américains	Proposition	voler	Suggeree	Base	Aucun	Colere	Aucune	voler
illégalement	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_2845-3039	Il accuse les personnes qui viennent d’autres pays et qui entrent illégalement aux Etats-Unis (là-bas, ils sont en majorité mexicains) de «voler» les emplois des Américains et d’être dangereux. 	aetienne_1624442820125_4762-45255474	aetienne	entrent illégalement aux Etats-Unis	Proposition	illégalement	Suggeree	Base	Aucun	Colere	Aucune	illégalement
il	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_3404-3468	Il faut dire que le pays est 17 fois plus grand que la France ! 	aetienne_1624443018368_4762-45255474	aetienne	Il faut dire que	Autre	il faut dire que	Montree	Base	Aucun	Surprise	Aucune	il
faut	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_3404-3468	Il faut dire que le pays est 17 fois plus grand que la France ! 	aetienne_1624443018368_4762-45255474	aetienne	Il faut dire que	Autre	il faut dire que	Montree	Base	Aucun	Surprise	Aucune	falloir
dire	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_3404-3468	Il faut dire que le pays est 17 fois plus grand que la France ! 	aetienne_1624443018368_4762-45255474	aetienne	Il faut dire que	Autre	il faut dire que	Montree	Base	Aucun	Surprise	Aucune	dire
que	PtitLibe	4762-45255474	7-12_PtitLibe14-election_americaine_Pourquoi_election_americaine	4762-45255474_3404-3468	Il faut dire que le pays est 17 fois plus grand que la France ! 	aetienne_1624443018368_4762-45255474	aetienne	Il faut dire que	Autre	il faut dire que	Montree	Base	Aucun	Surprise	Aucune	que
obtenu	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1336-1372	Il a obtenu le prix Nobel de la paix	aetienne_1621579826122_4257-17518248	aetienne	a obtenu le prix Nobel de la paix	Proposition	obtenu;prix Nobel	Suggeree	Base	Complexe	Joie	Fierte	obtenir
prix	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1336-1372	Il a obtenu le prix Nobel de la paix	aetienne_1621579826122_4257-17518248	aetienne	a obtenu le prix Nobel de la paix	Proposition	obtenu;prix Nobel	Suggeree	Base	Complexe	Joie	Fierte	prix
Nobel	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1336-1372	Il a obtenu le prix Nobel de la paix	aetienne_1621579826122_4257-17518248	aetienne	a obtenu le prix Nobel de la paix	Proposition	obtenu;prix Nobel	Suggeree	Base	Complexe	Joie	Fierte	Nobel
obtenu	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1372-1521	En 2009, Barack Obama a obtenu le prix Nobel de la paix, qui récompense les personnes faisant de grands efforts pour que les peuples vivent en paix. 	aetienne_1621579826123_4257-17518248	aetienne	a obtenu le prix Nobel de la paix, qui récompense les personnes faisant de grands efforts pour que les peuples vivent en paix	Proposition	obtenu;prix Nobel	Suggeree	Base	Complexe	Joie	Fierte	obtenir
prix	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1372-1521	En 2009, Barack Obama a obtenu le prix Nobel de la paix, qui récompense les personnes faisant de grands efforts pour que les peuples vivent en paix. 	aetienne_1621579826123_4257-17518248	aetienne	a obtenu le prix Nobel de la paix, qui récompense les personnes faisant de grands efforts pour que les peuples vivent en paix	Proposition	obtenu;prix Nobel	Suggeree	Base	Complexe	Joie	Fierte	prix
Nobel	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1372-1521	En 2009, Barack Obama a obtenu le prix Nobel de la paix, qui récompense les personnes faisant de grands efforts pour que les peuples vivent en paix. 	aetienne_1621579826123_4257-17518248	aetienne	a obtenu le prix Nobel de la paix, qui récompense les personnes faisant de grands efforts pour que les peuples vivent en paix	Proposition	obtenu;prix Nobel	Suggeree	Base	Complexe	Joie	Fierte	Nobel
récompense	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1372-1521	En 2009, Barack Obama a obtenu le prix Nobel de la paix, qui récompense les personnes faisant de grands efforts pour que les peuples vivent en paix. 	aetienne_1624448619526_4257-17518248	aetienne	récompense	Proposition	récompense	Suggeree	Base	Complexe	Joie	Fierte	récompense
critiqué	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1588-1739	Ça a été très critiqué, parce qu’il n’était président que depuis quelques mois et parce que les Etats-Unis étaient en guerre en Irak et en Afghanistan.	aetienne_1621579826127_4257-17518248	aetienne	Ça a été très critiqué	Proposition	critiqué	Comportementale	Base	Aucun	Colere	Aucune	critiquer
plus	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1759-1964	Quand Barack Obama est devenu président, en 2008, les Etats-Unis avaient beaucoup de problèmes économiques : de nombreuses personnes n’avaient plus de travail ni de maison, il y avait beaucoup de pauvres. 	aetienne_1624449682077_4257-17518248	aetienne	n’avaient plus de travail ni de maison	Proposition	plus de travail ni de maison	Suggeree	Base	Aucun	Tristesse	Aucune	plus
de	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1759-1964	Quand Barack Obama est devenu président, en 2008, les Etats-Unis avaient beaucoup de problèmes économiques : de nombreuses personnes n’avaient plus de travail ni de maison, il y avait beaucoup de pauvres. 	aetienne_1624449682077_4257-17518248	aetienne	n’avaient plus de travail ni de maison	Proposition	plus de travail ni de maison	Suggeree	Base	Aucun	Tristesse	Aucune	de
travail	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1759-1964	Quand Barack Obama est devenu président, en 2008, les Etats-Unis avaient beaucoup de problèmes économiques : de nombreuses personnes n’avaient plus de travail ni de maison, il y avait beaucoup de pauvres. 	aetienne_1624449682077_4257-17518248	aetienne	n’avaient plus de travail ni de maison	Proposition	plus de travail ni de maison	Suggeree	Base	Aucun	Tristesse	Aucune	travail
ni	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1759-1964	Quand Barack Obama est devenu président, en 2008, les Etats-Unis avaient beaucoup de problèmes économiques : de nombreuses personnes n’avaient plus de travail ni de maison, il y avait beaucoup de pauvres. 	aetienne_1624449682077_4257-17518248	aetienne	n’avaient plus de travail ni de maison	Proposition	plus de travail ni de maison	Suggeree	Base	Aucun	Tristesse	Aucune	ni
de	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1759-1964	Quand Barack Obama est devenu président, en 2008, les Etats-Unis avaient beaucoup de problèmes économiques : de nombreuses personnes n’avaient plus de travail ni de maison, il y avait beaucoup de pauvres. 	aetienne_1624449682077_4257-17518248	aetienne	n’avaient plus de travail ni de maison	Proposition	plus de travail ni de maison	Suggeree	Base	Aucun	Tristesse	Aucune	de
maison	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_1759-1964	Quand Barack Obama est devenu président, en 2008, les Etats-Unis avaient beaucoup de problèmes économiques : de nombreuses personnes n’avaient plus de travail ni de maison, il y avait beaucoup de pauvres. 	aetienne_1624449682077_4257-17518248	aetienne	n’avaient plus de travail ni de maison	Proposition	plus de travail ni de maison	Suggeree	Base	Aucun	Tristesse	Aucune	maison
morts	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_2543-2725	Beaucoup de gens sont morts là-bas, des Irakiens et des soldats américains notamment, et ça a coûté très cher aux Etats-Unis, donc de nombreuses personnes voulaient que ça s’arrête. 	aetienne_1624449781343_4257-17518248	aetienne	Beaucoup de gens sont morts là-bas, des Irakiens et des soldats américains notamment	Proposition	morts	Suggeree	Base	Aucun	Tristesse	Aucune	mourir
cool	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3381-3400	Il veut être «cool»	aetienne_1631112577570_4257-17518248	aetienne	cool	SAdj	cool	Designee	Complexe	Aucun	Admiration	Aucune	cool
blagues	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3400-3550	En France, on imagine mal le Président, François Hollande, faire des blagues à la télévision ou prendre des poses marrantes devant un appareil photo. 	aetienne_1621579826141_4257-17518248	aetienne	des blagues à la télévision	SN	blagues	Designee	Base	Aucun	Joie	Aucune	blague
marrantes	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3400-3550	En France, on imagine mal le Président, François Hollande, faire des blagues à la télévision ou prendre des poses marrantes devant un appareil photo. 	aetienne_1621579826142_4257-17518248	aetienne	marrantes	SAdj	marrantes	Designee	Base	Aucun	Joie	Aucune	marrant
cool	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3550-3628	Barack Obama, lui, le fait et aime bien donner une image de Président «cool». 	aetienne_1631112682455_4257-17518248	aetienne	cool	SAdj	cool	Designee	Complexe	Aucun	Admiration	Aucune	cool
critiqué	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3811-3967	Barack Obama est critiqué par certains parce qu’il n’a pas pris des décisions qui plaisent à tout le monde et il n’a pas résolu tous les problèmes du pays. 	aetienne_1621579826147_4257-17518248	aetienne	Barack Obama est critiqué	Proposition	critiqué	Comportementale	Base	Aucun	Colere	Aucune	critiquer
pas	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3811-3967	Barack Obama est critiqué par certains parce qu’il n’a pas pris des décisions qui plaisent à tout le monde et il n’a pas résolu tous les problèmes du pays. 	aetienne_1621579826148_4257-17518248	aetienne	n’a pas résolu tous les problèmes du pays	Proposition	pas résolu;problèmes	Suggeree	Base	Aucun	Colere	Aucune	pas
résolu	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3811-3967	Barack Obama est critiqué par certains parce qu’il n’a pas pris des décisions qui plaisent à tout le monde et il n’a pas résolu tous les problèmes du pays. 	aetienne_1621579826148_4257-17518248	aetienne	n’a pas résolu tous les problèmes du pays	Proposition	pas résolu;problèmes	Suggeree	Base	Aucun	Colere	Aucune	résoudre
problèmes	PtitLibe	4257-17518248	7-12_PtitLibe14-election_americaine_Pourquoi_Obama	4257-17518248_3811-3967	Barack Obama est critiqué par certains parce qu’il n’a pas pris des décisions qui plaisent à tout le monde et il n’a pas résolu tous les problèmes du pays. 	aetienne_1621579826148_4257-17518248	aetienne	n’a pas résolu tous les problèmes du pays	Proposition	pas résolu;problèmes	Suggeree	Base	Aucun	Colere	Aucune	problème
tendue	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_1327-1496	On appelle cette période la guerre froide, parce qu’il n’y avait pas de combats comme dans une vraie guerre, mais la situation était glaciale, c’est-à-dire très tendue. 	aetienne_1624460001483_3982-81021897	aetienne	très tendue	SAdj	tendue	Designee	Base	Base	Colere	Peur	tendre
même	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_2122-2143	Et même la capitale !	aetienne_1621579826153_3982-81021897	aetienne	même	SAdv	même	Montree	Base	Aucun	Surprise	Aucune	même
le	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_3110-3230	Il est devenu président en 1960, à l’âge de 43 ans : il reste aujourd’hui encore l’homme élu le plus jeune à ce poste ! 	aetienne_1624460220744_3982-81021897	aetienne	l’homme élu le plus jeune à ce poste	SN	le plus	Suggeree	Base	Aucun	Surprise	Aucune	le
plus	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_3110-3230	Il est devenu président en 1960, à l’âge de 43 ans : il reste aujourd’hui encore l’homme élu le plus jeune à ce poste ! 	aetienne_1624460220744_3982-81021897	aetienne	l’homme élu le plus jeune à ce poste	SN	le plus	Suggeree	Base	Aucun	Surprise	Aucune	plus
aujourd	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_3110-3230	Il est devenu président en 1960, à l’âge de 43 ans : il reste aujourd’hui encore l’homme élu le plus jeune à ce poste ! 	aetienne_1624460578488_3982-81021897	aetienne	aujourd’hui encore	SAdv	aujourd’hui encore	Montree	Base	Aucun	Surprise	Aucune	aujourd
hui	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_3110-3230	Il est devenu président en 1960, à l’âge de 43 ans : il reste aujourd’hui encore l’homme élu le plus jeune à ce poste ! 	aetienne_1624460578488_3982-81021897	aetienne	aujourd’hui encore	SAdv	aujourd’hui encore	Montree	Base	Aucun	Surprise	Aucune	hui
encore	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_3110-3230	Il est devenu président en 1960, à l’âge de 43 ans : il reste aujourd’hui encore l’homme élu le plus jeune à ce poste ! 	aetienne_1624460578488_3982-81021897	aetienne	aujourd’hui encore	SAdv	aujourd’hui encore	Montree	Base	Aucun	Surprise	Aucune	encore
espionner	PtitLibe	3982-81021897	7-12_PtitLibe14-election_americaine_Pourquoi_president_americain_important	3982-81021897_3677-3780	Il a quitté le pouvoir à cause de l’affaire du Watergate : il avait fait espionner tous ses opposants !	aetienne_1621579826163_3982-81021897	aetienne	il avait fait espionner tous ses opposants	Proposition	espionner	Suggeree	Base	Aucun	Surprise	Aucune	espionner
critiqués	PtitLibe	2676-94160583	7-12_PtitLibe14-election_americaine_Pourquoi_role_depasse_frontieres_americaines	2676-94160583_2348-2417	Mais les Etats-Unis sont aussi très critiqués dans de nombreux pays. 	aetienne_1624460992068_2676-94160583	aetienne	les Etats-Unis sont très critiqués	Proposition	critiqués	Comportementale	Base	Aucun	Colere	Aucune	critiquer
espionner	PtitLibe	2676-94160583	7-12_PtitLibe14-election_americaine_Pourquoi_role_depasse_frontieres_americaines	2676-94160583_2417-2551	On les accuse d’être responsables de plusieurs guerres, de trop se mêler des affaires des autres et d’espionner les autres présidents.	aetienne_1621579826175_2676-94160583	aetienne	espionner les autres présidents	Proposition	espionner	Suggeree	Base	Aucun	Colere	Aucune	espionner
accuse	PtitLibe	2676-94160583	7-12_PtitLibe14-election_americaine_Pourquoi_role_depasse_frontieres_americaines	2676-94160583_2417-2551	On les accuse d’être responsables de plusieurs guerres, de trop se mêler des affaires des autres et d’espionner les autres présidents.	aetienne_1621579826171_2676-94160583	aetienne	les accuse d’être responsables de plusieurs guerres, de trop se mêler des affaires des autres et d’espionner les autres présidents	Proposition	accuse	Comportementale	Base	Aucun	Colere	Aucune	accuser
se	PtitLibe	2676-94160583	7-12_PtitLibe14-election_americaine_Pourquoi_role_depasse_frontieres_americaines	2676-94160583_2417-2551	On les accuse d’être responsables de plusieurs guerres, de trop se mêler des affaires des autres et d’espionner les autres présidents.	aetienne_1621579826174_2676-94160583	aetienne	trop se mêler des affaires des autres	Proposition	se mêler des affaires des autres	Suggeree	Base	Aucun	Colere	Aucune	se
mêler	PtitLibe	2676-94160583	7-12_PtitLibe14-election_americaine_Pourquoi_role_depasse_frontieres_americaines	2676-94160583_2417-2551	On les accuse d’être responsables de plusieurs guerres, de trop se mêler des affaires des autres et d’espionner les autres présidents.	aetienne_1621579826174_2676-94160583	aetienne	trop se mêler des affaires des autres	Proposition	se mêler des affaires des autres	Suggeree	Base	Aucun	Colere	Aucune	mêler
des	PtitLibe	2676-94160583	7-12_PtitLibe14-election_americaine_Pourquoi_role_depasse_frontieres_americaines	2676-94160583_2417-2551	On les accuse d’être responsables de plusieurs guerres, de trop se mêler des affaires des autres et d’espionner les autres présidents.	aetienne_1621579826174_2676-94160583	aetienne	trop se mêler des affaires des autres	Proposition	se mêler des affaires des autres	Suggeree	Base	Aucun	Colere	Aucune	un
affaires	PtitLibe	2676-94160583	7-12_PtitLibe14-election_americaine_Pourquoi_role_depasse_frontieres_americaines	2676-94160583_2417-2551	On les accuse d’être responsables de plusieurs guerres, de trop se mêler des affaires des autres et d’espionner les autres présidents.	aetienne_1621579826174_2676-94160583	aetienne	trop se mêler des affaires des autres	Proposition	se mêler des affaires des autres	Suggeree	Base	Aucun	Colere	Aucune	affaire
